Time,Produzione (W)
16/12/2019 00:00,"0"
16/12/2019 00:15,"0"
16/12/2019 00:30,"0"
16/12/2019 00:45,"0"
16/12/2019 01:00,"0"
16/12/2019 01:15,"0"
16/12/2019 01:30,"0"
16/12/2019 01:45,"0"
16/12/2019 02:00,"0"
16/12/2019 02:15,"0"
16/12/2019 02:30,"0"
16/12/2019 02:45,"0"
16/12/2019 03:00,"0"
16/12/2019 03:15,"0"
16/12/2019 03:30,"0"
16/12/2019 03:45,"0"
16/12/2019 04:00,"0"
16/12/2019 04:15,"0"
16/12/2019 04:30,"0"
16/12/2019 04:45,"0"
16/12/2019 05:00,"0"
16/12/2019 05:15,"0"
16/12/2019 05:30,"0"
16/12/2019 05:45,"0"
16/12/2019 06:00,"0"
16/12/2019 06:15,"0"
16/12/2019 06:30,"0"
16/12/2019 06:45,"0"
16/12/2019 07:00,"0"
16/12/2019 07:15,"0"
16/12/2019 07:30,"0"
16/12/2019 07:45,"0"
16/12/2019 08:00,"106.6667"
16/12/2019 08:15,"1181.0001"
16/12/2019 08:30,"2595.3335"
16/12/2019 08:45,"2377"
16/12/2019 09:00,"3407.3333"
16/12/2019 09:15,"6084"
16/12/2019 09:30,"7408.3335"
16/12/2019 09:45,"8589"
16/12/2019 10:00,"10982.666"
16/12/2019 10:15,"10738.999"
16/12/2019 10:30,"15395.667"
16/12/2019 10:45,"15216.667"
16/12/2019 11:00,"14658.334"
16/12/2019 11:15,"14499.667"
16/12/2019 11:30,"13371"
16/12/2019 11:45,"15546.334"
16/12/2019 12:00,"19321.666"
16/12/2019 12:15,"18939"
16/12/2019 12:30,"18507.332"
16/12/2019 12:45,"20068.334"
16/12/2019 13:00,"21943"
16/12/2019 13:15,"16361.334"
16/12/2019 13:30,"14123.666"
16/12/2019 13:45,"12109"
16/12/2019 14:00,"11705"
16/12/2019 14:15,"10218.667"
16/12/2019 14:30,"9482"
16/12/2019 14:45,"7455"
16/12/2019 15:00,"5052.333"
16/12/2019 15:15,"3434"
16/12/2019 15:30,"2182.3333"
16/12/2019 15:45,"1056.6666"
16/12/2019 16:00,"553"
16/12/2019 16:15,"24.6667"
16/12/2019 16:30,"0"
16/12/2019 16:45,"0"
16/12/2019 17:00,"0"
16/12/2019 17:15,"0"
16/12/2019 17:30,"0"
16/12/2019 17:45,"0"
16/12/2019 18:00,"0"
16/12/2019 18:15,"0"
16/12/2019 18:30,"0"
16/12/2019 18:45,"0"
16/12/2019 19:00,"0"
16/12/2019 19:15,"0"
16/12/2019 19:30,"0"
16/12/2019 19:45,"0"
16/12/2019 20:00,"0"
16/12/2019 20:15,"0"
16/12/2019 20:30,"0"
16/12/2019 20:45,"0"
16/12/2019 21:00,"0"
16/12/2019 21:15,"0"
16/12/2019 21:30,"0"
16/12/2019 21:45,"0"
16/12/2019 22:00,"0"
16/12/2019 22:15,"0"
16/12/2019 22:30,"0"
16/12/2019 22:45,"0"
16/12/2019 23:00,"0"
16/12/2019 23:15,"0"
16/12/2019 23:30,"0"
16/12/2019 23:45,"0"
17/12/2019 00:00,"0"
17/12/2019 00:15,"0"
17/12/2019 00:30,"0"
17/12/2019 00:45,"0"
17/12/2019 01:00,"0"
17/12/2019 01:15,"0"
17/12/2019 01:30,"0"
17/12/2019 01:45,"0"
17/12/2019 02:00,"0"
17/12/2019 02:15,"0"
17/12/2019 02:30,"0"
17/12/2019 02:45,"0"
17/12/2019 03:00,"0"
17/12/2019 03:15,"0"
17/12/2019 03:30,"0"
17/12/2019 03:45,"0"
17/12/2019 04:00,"0"
17/12/2019 04:15,"0"
17/12/2019 04:30,"0"
17/12/2019 04:45,"0"
17/12/2019 05:00,"0"
17/12/2019 05:15,"0"
17/12/2019 05:30,"0"
17/12/2019 05:45,"0"
17/12/2019 06:00,"0"
