Time,Produzione (W)
02/12/2019 00:00,"0"
02/12/2019 00:15,"0"
02/12/2019 00:30,"0"
02/12/2019 00:45,"0"
02/12/2019 01:00,"0"
02/12/2019 01:15,"0"
02/12/2019 01:30,"0"
02/12/2019 01:45,"0"
02/12/2019 02:00,"0"
02/12/2019 02:15,"0"
02/12/2019 02:30,"0"
02/12/2019 02:45,"0"
02/12/2019 03:00,"0"
02/12/2019 03:15,"0"
02/12/2019 03:30,"0"
02/12/2019 03:45,"0"
02/12/2019 04:00,"0"
02/12/2019 04:15,"0"
02/12/2019 04:30,"0"
02/12/2019 04:45,"0"
02/12/2019 05:00,"0"
02/12/2019 05:15,"0"
02/12/2019 05:30,"0"
02/12/2019 05:45,"0"
02/12/2019 06:00,"0"
02/12/2019 06:15,"0"
02/12/2019 06:30,"0"
02/12/2019 06:45,"0"
02/12/2019 07:00,"0"
02/12/2019 07:15,"0"
02/12/2019 07:30,"0"
02/12/2019 07:45,"0"
02/12/2019 08:00,"0"
02/12/2019 08:15,"49.6667"
02/12/2019 08:30,"465.6667"
02/12/2019 08:45,"1822"
02/12/2019 09:00,"4212.333"
02/12/2019 09:15,"5508.6665"
02/12/2019 09:30,"7229"
02/12/2019 09:45,"7793"
02/12/2019 10:00,"8354.667"
02/12/2019 10:15,"9157"
02/12/2019 10:30,"7001.3335"
02/12/2019 10:45,"6690.6665"
02/12/2019 11:00,"11198.666"
02/12/2019 11:15,"10522.667"
02/12/2019 11:30,"12892.333"
02/12/2019 11:45,"15789.666"
02/12/2019 12:00,"27657.332"
02/12/2019 12:15,"27791.666"
02/12/2019 12:30,"20489"
02/12/2019 12:45,"13424"
02/12/2019 13:00,"11641.667"
02/12/2019 13:15,"8658.666"
02/12/2019 13:30,"5427.333"
02/12/2019 13:45,"7093.333"
02/12/2019 14:00,"6490.333"
02/12/2019 14:15,"4582.6665"
02/12/2019 14:30,"2107.6667"
02/12/2019 14:45,"1191.3333"
02/12/2019 15:00,"821.6667"
02/12/2019 15:15,"281"
02/12/2019 15:30,"186"
02/12/2019 15:45,"624"
02/12/2019 16:00,"22.6667"
02/12/2019 16:15,"0"
02/12/2019 16:30,"0"
02/12/2019 16:45,"0"
02/12/2019 17:00,"0"
02/12/2019 17:15,"0"
02/12/2019 17:30,"0"
02/12/2019 17:45,"0"
02/12/2019 18:00,"0"
02/12/2019 18:15,"0"
02/12/2019 18:30,"0"
02/12/2019 18:45,"0"
02/12/2019 19:00,"0"
02/12/2019 19:15,"0"
02/12/2019 19:30,"0"
02/12/2019 19:45,"0"
02/12/2019 20:00,"0"
02/12/2019 20:15,"0"
02/12/2019 20:30,"0"
02/12/2019 20:45,"0"
02/12/2019 21:00,"0"
02/12/2019 21:15,"0"
02/12/2019 21:30,"0"
02/12/2019 21:45,"0"
02/12/2019 22:00,"0"
02/12/2019 22:15,"0"
02/12/2019 22:30,"0"
02/12/2019 22:45,"0"
02/12/2019 23:00,"0"
02/12/2019 23:15,"0"
02/12/2019 23:30,"0"
02/12/2019 23:45,"0"
03/12/2019 00:00,"0"
03/12/2019 00:15,"0"
03/12/2019 00:30,"0"
03/12/2019 00:45,"0"
03/12/2019 01:00,"0"
03/12/2019 01:15,"0"
03/12/2019 01:30,"0"
03/12/2019 01:45,"0"
03/12/2019 02:00,"0"
03/12/2019 02:15,"0"
03/12/2019 02:30,"0"
03/12/2019 02:45,"0"
03/12/2019 03:00,"0"
03/12/2019 03:15,"0"
03/12/2019 03:30,"0"
03/12/2019 03:45,"0"
03/12/2019 04:00,"0"
03/12/2019 04:15,"0"
03/12/2019 04:30,"0"
03/12/2019 04:45,"0"
03/12/2019 05:00,"0"
03/12/2019 05:15,"0"
03/12/2019 05:30,"0"
03/12/2019 05:45,"0"
03/12/2019 06:00,"0"
03/12/2019 06:15,"0"
03/12/2019 06:30,"0"
03/12/2019 06:45,"0"
03/12/2019 07:00,"0"
03/12/2019 07:15,"0"
03/12/2019 07:30,"1.3333"
03/12/2019 07:45,"354.6667"
03/12/2019 08:00,"1345.6667"
03/12/2019 08:15,"3572.6667"
03/12/2019 08:30,"6581.3335"
03/12/2019 08:45,"9511"
03/12/2019 09:00,"7551.3335"
03/12/2019 09:15,"7886"
03/12/2019 09:30,"8094.3335"
03/12/2019 09:45,"8259.666"
03/12/2019 10:00,"15995.668"
03/12/2019 10:15,"21551.666"
03/12/2019 10:30,"25342.332"
03/12/2019 10:45,"21664.666"
03/12/2019 11:00,"26913.584"
03/12/2019 11:15,"28147.334"
03/12/2019 11:30,"28926"
03/12/2019 11:45,"29664.332"
03/12/2019 12:00,"30013.668"
03/12/2019 12:15,"29727"
03/12/2019 12:30,"29415"
03/12/2019 12:45,"28704.334"
03/12/2019 13:00,"27779"
03/12/2019 13:15,"26291.668"
03/12/2019 13:30,"24758.668"
03/12/2019 13:45,"22678"
03/12/2019 14:00,"19341.334"
03/12/2019 14:15,"16609.332"
03/12/2019 14:30,"14600"
03/12/2019 14:45,"11518"
03/12/2019 15:00,"8590.334"
03/12/2019 15:15,"6760.6665"
03/12/2019 15:30,"4208"
03/12/2019 15:45,"2573.3333"
03/12/2019 16:00,"1152.6666"
03/12/2019 16:15,"256"
03/12/2019 16:30,"1"
03/12/2019 16:45,"0"
03/12/2019 17:00,"0"
03/12/2019 17:15,"0"
03/12/2019 17:30,"0"
03/12/2019 17:45,"0"
03/12/2019 18:00,"0"
03/12/2019 18:15,"0"
03/12/2019 18:30,"0"
03/12/2019 18:45,"0"
03/12/2019 19:00,"0"
03/12/2019 19:15,"0"
03/12/2019 19:30,"0"
03/12/2019 19:45,"0"
03/12/2019 20:00,"0"
03/12/2019 20:15,"0"
03/12/2019 20:30,"0"
03/12/2019 20:45,"0"
03/12/2019 21:00,"0"
03/12/2019 21:15,"0"
03/12/2019 21:30,"0"
03/12/2019 21:45,"0"
03/12/2019 22:00,"0"
03/12/2019 22:15,"0"
03/12/2019 22:30,"0"
03/12/2019 22:45,"0"
03/12/2019 23:00,"0"
03/12/2019 23:15,"0"
03/12/2019 23:30,"0"
03/12/2019 23:45,"0"
04/12/2019 00:00,"0"
04/12/2019 00:15,"0"
04/12/2019 00:30,"0"
04/12/2019 00:45,"0"
04/12/2019 01:00,"0"
04/12/2019 01:15,"0"
04/12/2019 01:30,"0"
04/12/2019 01:45,"0"
04/12/2019 02:00,"0"
04/12/2019 02:15,"0"
04/12/2019 02:30,"0"
04/12/2019 02:45,"0"
04/12/2019 03:00,"0"
04/12/2019 03:15,"0"
04/12/2019 03:30,"0"
04/12/2019 03:45,"0"
04/12/2019 04:00,"0"
04/12/2019 04:15,"0"
04/12/2019 04:30,"0"
04/12/2019 04:45,"0"
04/12/2019 05:00,"0"
04/12/2019 05:15,"0"
04/12/2019 05:30,"0"
04/12/2019 05:45,"0"
04/12/2019 06:00,"0"
04/12/2019 06:15,"0"
04/12/2019 06:30,"0"
04/12/2019 06:45,"0"
04/12/2019 07:00,"0"
04/12/2019 07:15,"0"
04/12/2019 07:30,"2.6667"
04/12/2019 07:45,"376"
04/12/2019 08:00,"1242"
04/12/2019 08:15,"2536.6665"
04/12/2019 08:30,"4076.6665"
04/12/2019 08:45,"5974"
04/12/2019 09:00,"8143.3325"
04/12/2019 09:15,"10958"
04/12/2019 09:30,"13443.334"
04/12/2019 09:45,"16213.667"
04/12/2019 10:00,"19027.668"
04/12/2019 10:15,"21630"
04/12/2019 10:30,"23514.666"
04/12/2019 10:45,"25120"
04/12/2019 11:00,"26645"
04/12/2019 11:15,"27819"
04/12/2019 11:30,"28527"
04/12/2019 11:45,"29144.6641"
04/12/2019 12:00,"29623"
04/12/2019 12:15,"29298.668"
04/12/2019 12:30,"28470.668"
04/12/2019 12:45,"27551.332"
04/12/2019 13:00,"26836"
04/12/2019 13:15,"25557.332"
04/12/2019 13:30,"23651.332"
04/12/2019 13:45,"21898.666"
04/12/2019 14:00,"18576.666"
04/12/2019 14:15,"15903"
04/12/2019 14:30,"13985.667"
04/12/2019 14:45,"10860.666"
04/12/2019 15:00,"8506.333"
04/12/2019 15:15,"6470"
04/12/2019 15:30,"4027.3333"
04/12/2019 15:45,"2456"
04/12/2019 16:00,"989.6666"
04/12/2019 16:15,"80.3333"
04/12/2019 16:30,"0"
04/12/2019 16:45,"0"
04/12/2019 17:00,"0"
04/12/2019 17:15,"0"
04/12/2019 17:30,"0"
04/12/2019 17:45,"0"
04/12/2019 18:00,"0"
04/12/2019 18:15,"0"
04/12/2019 18:30,"0"
04/12/2019 18:45,"0"
04/12/2019 19:00,"0"
04/12/2019 19:15,"0"
04/12/2019 19:30,"0"
04/12/2019 19:45,"0"
04/12/2019 20:00,"0"
04/12/2019 20:15,"0"
04/12/2019 20:30,"0"
04/12/2019 20:45,"0"
04/12/2019 21:00,"0"
04/12/2019 21:15,"0"
04/12/2019 21:30,"0"
04/12/2019 21:45,"0"
04/12/2019 22:00,"0"
