Time,Produzione (W)
23/12/2019 00:00,"0"
23/12/2019 00:15,"0"
23/12/2019 00:30,"0"
23/12/2019 00:45,"0"
23/12/2019 01:00,"0"
23/12/2019 01:15,"0"
23/12/2019 01:30,"0"
23/12/2019 01:45,"0"
23/12/2019 02:00,"0"
23/12/2019 02:15,"0"
23/12/2019 02:30,"0"
23/12/2019 02:45,"0"
23/12/2019 03:00,"0"
23/12/2019 03:15,"0"
23/12/2019 03:30,"0"
23/12/2019 03:45,"0"
23/12/2019 04:00,"0"
23/12/2019 04:15,"0"
23/12/2019 04:30,"0"
23/12/2019 04:45,"0"
23/12/2019 05:00,"0"
23/12/2019 05:15,"0"
23/12/2019 05:30,"0"
23/12/2019 05:45,"0"
23/12/2019 06:00,"0"
23/12/2019 06:15,"0"
23/12/2019 06:30,"0"
23/12/2019 06:45,"0"
23/12/2019 07:00,"0"
23/12/2019 07:15,"0"
23/12/2019 07:30,"0"
23/12/2019 07:45,"0"
23/12/2019 08:00,"218"
23/12/2019 08:15,"1168.6666"
23/12/2019 08:30,"2662.6667"
23/12/2019 08:45,"3981"
23/12/2019 09:00,"4834.667"
23/12/2019 09:15,"5176.3335"
23/12/2019 09:30,"5711.6665"
23/12/2019 09:45,"8583.666"
23/12/2019 10:00,"9601"
23/12/2019 10:15,"14854.333"
23/12/2019 10:30,"20302.334"
23/12/2019 10:45,"22734"
23/12/2019 11:00,"24615"
23/12/2019 11:15,"26111.668"
23/12/2019 11:30,"27225.334"
23/12/2019 11:45,"28144.334"
23/12/2019 12:00,"28412.666"
23/12/2019 12:15,"28222.332"
23/12/2019 12:30,"27796.332"
23/12/2019 12:45,"27314.666"
23/12/2019 13:00,"26532.334"
23/12/2019 13:15,"25354.668"
23/12/2019 13:30,"24017.666"
23/12/2019 13:45,"22281.332"
23/12/2019 14:00,"19544.668"
23/12/2019 14:15,"16227.334"
23/12/2019 14:30,"14593.667"
23/12/2019 14:45,"11956"
23/12/2019 15:00,"8380"
23/12/2019 15:15,"6992.667"
23/12/2019 15:30,"4157.3335"
23/12/2019 15:45,"2862"
23/12/2019 16:00,"1317.6666"
23/12/2019 16:15,"385.3333"
23/12/2019 16:30,"12"
23/12/2019 16:45,"0"
23/12/2019 17:00,"0"
23/12/2019 17:15,"0"
23/12/2019 17:30,"0"
23/12/2019 17:45,"0"
23/12/2019 18:00,"0"
23/12/2019 18:15,"0"
23/12/2019 18:30,"0"
23/12/2019 18:45,"0"
23/12/2019 19:00,"0"
23/12/2019 19:15,"0"
23/12/2019 19:30,"0"
23/12/2019 19:45,"0"
23/12/2019 20:00,"0"
23/12/2019 20:15,"0"
23/12/2019 20:30,"0"
23/12/2019 20:45,"0"
23/12/2019 21:00,"0"
23/12/2019 21:15,"0"
23/12/2019 21:30,"0"
23/12/2019 21:45,"0"
23/12/2019 22:00,"0"
23/12/2019 22:15,"0"
23/12/2019 22:30,"0"
23/12/2019 22:45,"0"
23/12/2019 23:00,"0"
23/12/2019 23:15,"0"
