Time,Produzione (W)
20/01/2020 00:00,"0"
20/01/2020 00:15,"0"
20/01/2020 00:30,"0"
20/01/2020 00:45,"0"
20/01/2020 01:00,"0"
20/01/2020 01:15,"0"
20/01/2020 01:30,"0"
20/01/2020 01:45,"0"
20/01/2020 02:00,"0"
20/01/2020 02:15,"0"
20/01/2020 02:30,"0"
20/01/2020 02:45,"0"
20/01/2020 03:00,"0"
20/01/2020 03:15,"0"
20/01/2020 03:30,"0"
20/01/2020 03:45,"0"
20/01/2020 04:00,"0"
20/01/2020 04:15,"0"
20/01/2020 04:30,"0"
20/01/2020 04:45,"0"
20/01/2020 05:00,"0"
20/01/2020 05:15,"0"
20/01/2020 05:30,"0"
20/01/2020 05:45,"0"
20/01/2020 06:00,"0"
20/01/2020 06:15,"0"
20/01/2020 06:30,"0"
20/01/2020 06:45,"0"
20/01/2020 07:00,"0"
20/01/2020 07:15,"0"
20/01/2020 07:30,"0"
20/01/2020 07:45,"5"
20/01/2020 08:00,"494"
20/01/2020 08:15,"1515"
20/01/2020 08:30,"3133.3333"
20/01/2020 08:45,"4738.6665"
20/01/2020 09:00,"6731.333"
20/01/2020 09:15,"9371.667"
20/01/2020 09:30,"12518"
20/01/2020 09:45,"15275.333"
20/01/2020 10:00,"18197"
20/01/2020 10:15,"21709"
20/01/2020 10:30,"24347.334"
20/01/2020 10:45,"25402.668"
20/01/2020 11:00,"28802.334"
20/01/2020 11:15,"30359.666"
20/01/2020 11:30,"31939.666"
20/01/2020 11:45,"33201.668"
20/01/2020 12:00,"33899.6641"
20/01/2020 12:15,"34263.6641"
20/01/2020 12:30,"34358.6641"
20/01/2020 12:45,"33435.332"
20/01/2020 13:00,"32952.668"
20/01/2020 13:15,"31553"
20/01/2020 13:30,"28877.668"
20/01/2020 13:45,"27185.666"
20/01/2020 14:00,"25078.332"
20/01/2020 14:15,"24661.334"
20/01/2020 14:30,"15779"
20/01/2020 14:45,"11302.334"
20/01/2020 15:00,"16487.666"
20/01/2020 15:15,"14824.666"
20/01/2020 15:30,"7918"
20/01/2020 15:45,"7336.75"
20/01/2020 16:00,"3721.6665"
20/01/2020 16:15,"2104.6667"
20/01/2020 16:30,"916"
20/01/2020 16:45,"125"
20/01/2020 17:00,"2.6667"
20/01/2020 17:15,"0"
20/01/2020 17:30,"0"
20/01/2020 17:45,"0"
20/01/2020 18:00,"0"
20/01/2020 18:15,"0"
20/01/2020 18:30,"0"
20/01/2020 18:45,"0"
20/01/2020 19:00,"0"
20/01/2020 19:15,"0"
20/01/2020 19:30,"0"
20/01/2020 19:45,"0"
20/01/2020 20:00,"0"
20/01/2020 20:15,"0"
