Time,Produzione (W)
06/04/2020 00:00,"0"
06/04/2020 00:15,"0"
06/04/2020 00:30,"0"
06/04/2020 00:45,"0"
06/04/2020 01:00,"0"
06/04/2020 01:15,"0"
06/04/2020 01:30,"0"
06/04/2020 01:45,"0"
06/04/2020 02:00,"0"
06/04/2020 02:15,"0"
06/04/2020 02:30,"0"
06/04/2020 02:45,"0"
06/04/2020 03:00,"0"
06/04/2020 03:15,"0"
06/04/2020 03:30,"0"
06/04/2020 03:45,"0"
06/04/2020 04:00,"0"
06/04/2020 04:15,"0"
06/04/2020 04:30,"0"
06/04/2020 04:45,"0"
06/04/2020 05:00,"0"
06/04/2020 05:15,"0"
06/04/2020 05:30,"0"
06/04/2020 05:45,"0"
06/04/2020 06:00,"0"
06/04/2020 06:15,"0"
06/04/2020 06:30,"0"
06/04/2020 06:45,"41.3333"
06/04/2020 07:00,"895"
06/04/2020 07:15,"2090.3333"
06/04/2020 07:30,"3808.6667"
06/04/2020 07:45,"5973.3335"
06/04/2020 08:00,"8853.666"
06/04/2020 08:15,"11822.334"
06/04/2020 08:30,"15735.333"
06/04/2020 08:45,"19599.334"
06/04/2020 09:00,"23336"
06/04/2020 09:15,"27744.332"
06/04/2020 09:30,"32347"
06/04/2020 09:45,"36751.668"
06/04/2020 10:00,"40620.3359"
06/04/2020 10:15,"44274.332"
06/04/2020 10:30,"47942"
06/04/2020 10:45,"51044.668"
06/04/2020 11:00,"53743"
06/04/2020 11:15,"56138"
06/04/2020 11:30,"58257.332"
06/04/2020 11:45,"60170.6641"
06/04/2020 12:00,"61436"
06/04/2020 12:15,"62886.6641"
06/04/2020 12:30,"63423.3359"
06/04/2020 12:45,"63178"
06/04/2020 13:00,"64755"
06/04/2020 13:15,"63805.668"
06/04/2020 13:30,"64080.332"
06/04/2020 13:45,"63078.6641"
06/04/2020 14:00,"61673"
06/04/2020 14:15,"61428.668"
06/04/2020 14:30,"60704.6641"
06/04/2020 14:45,"59443"
06/04/2020 15:00,"57735.6641"
06/04/2020 15:15,"55637.3359"
06/04/2020 15:30,"52600"
06/04/2020 15:45,"50653.3359"
06/04/2020 16:00,"47384"
06/04/2020 16:15,"44245"
06/04/2020 16:30,"40909.332"
06/04/2020 16:45,"36022.332"
06/04/2020 17:00,"31015.668"
06/04/2020 17:15,"27446"
06/04/2020 17:30,"23871"
06/04/2020 17:45,"20066.668"
06/04/2020 18:00,"14650.333"
06/04/2020 18:15,"11541.666"
06/04/2020 18:30,"8418.667"
06/04/2020 18:45,"5057.333"
06/04/2020 19:00,"3109.3335"
06/04/2020 19:15,"1274.6667"
06/04/2020 19:30,"230.3333"
06/04/2020 19:45,"0"
06/04/2020 20:00,"0"
06/04/2020 20:15,"0"
06/04/2020 20:30,"0"
06/04/2020 20:45,"0"
06/04/2020 21:00,"0"
06/04/2020 21:15,"0"
06/04/2020 21:30,"0"
06/04/2020 21:45,"0"
06/04/2020 22:00,"0"
06/04/2020 22:15,"0"
06/04/2020 22:30,"0"
06/04/2020 22:45,"0"
06/04/2020 23:00,"0"
06/04/2020 23:15,"0"
06/04/2020 23:30,"0"
06/04/2020 23:45,"0"
07/04/2020 00:00,"0"
07/04/2020 00:15,"0"
07/04/2020 00:30,"0"
07/04/2020 00:45,"0"
07/04/2020 01:00,"0"
07/04/2020 01:15,"0"
07/04/2020 01:30,"0"
07/04/2020 01:45,"0"
07/04/2020 02:00,"0"
07/04/2020 02:15,"0"
07/04/2020 02:30,"0"
07/04/2020 02:45,"0"
07/04/2020 03:00,"0"
07/04/2020 03:15,"0"
07/04/2020 03:30,"0"
07/04/2020 03:45,"0"
07/04/2020 04:00,"0"
07/04/2020 04:15,"0"
07/04/2020 04:30,"0"
07/04/2020 04:45,"0"
07/04/2020 05:00,"0"
07/04/2020 05:15,"0"
07/04/2020 05:30,"0"
07/04/2020 05:45,"0"
07/04/2020 06:00,"0"
07/04/2020 06:15,"0"
07/04/2020 06:30,"0"
07/04/2020 06:45,"119.6667"
07/04/2020 07:00,"981"
07/04/2020 07:15,"2315.6665"
07/04/2020 07:30,"4236.3335"
07/04/2020 07:45,"6594.6665"
07/04/2020 08:00,"9422.999"
07/04/2020 08:15,"12458.667"
07/04/2020 08:30,"16705.334"
07/04/2020 08:45,"20733.332"
07/04/2020 09:00,"24502.666"
07/04/2020 09:15,"28540.998"
07/04/2020 09:30,"32882"
07/04/2020 09:45,"37186.6641"
07/04/2020 10:00,"40984.332"
07/04/2020 10:15,"44369.332"
07/04/2020 10:30,"47596.668"
07/04/2020 10:45,"50430.332"
07/04/2020 11:00,"53190.668"
07/04/2020 11:15,"55578"
07/04/2020 11:30,"57705"
07/04/2020 11:45,"59699.668"
07/04/2020 12:00,"61117.332"
07/04/2020 12:15,"62009.6641"
07/04/2020 12:30,"63207"
07/04/2020 12:45,"63225.668"
07/04/2020 13:00,"64509"
07/04/2020 13:15,"64505.6641"
07/04/2020 13:30,"64491"
07/04/2020 13:45,"63950"
07/04/2020 14:00,"64011.3359"
07/04/2020 14:15,"62532"
07/04/2020 14:30,"61792.6641"
07/04/2020 14:45,"60516.3359"
07/04/2020 15:00,"58152.3359"
07/04/2020 15:15,"56357.3359"
07/04/2020 15:30,"54400"
07/04/2020 15:45,"50391.3359"
07/04/2020 16:00,"48460.668"
07/04/2020 16:15,"45102.332"
07/04/2020 16:30,"41937.668"
07/04/2020 16:45,"37527"
07/04/2020 17:00,"31749.332"
07/04/2020 17:15,"28873.334"
07/04/2020 17:30,"25490.666"
07/04/2020 17:45,"21657.668"
07/04/2020 18:00,"16025.666"
07/04/2020 18:15,"13354.333"
07/04/2020 18:30,"10241"
07/04/2020 18:45,"6355.667"
07/04/2020 19:00,"4203"
07/04/2020 19:15,"1740"
07/04/2020 19:30,"372.3333"
07/04/2020 19:45,"0"
07/04/2020 20:00,"0"
07/04/2020 20:15,"0"
07/04/2020 20:30,"0"
