Time,Produzione (W)
27/01/2020 00:00,"0"
27/01/2020 00:15,"0"
27/01/2020 00:30,"0"
27/01/2020 00:45,"0"
27/01/2020 01:00,"0"
27/01/2020 01:15,"0"
27/01/2020 01:30,"0"
27/01/2020 01:45,"0"
27/01/2020 02:00,"0"
27/01/2020 02:15,"0"
27/01/2020 02:30,"0"
27/01/2020 02:45,"0"
27/01/2020 03:00,"0"
27/01/2020 03:15,"0"
27/01/2020 03:30,"0"
27/01/2020 03:45,"0"
27/01/2020 04:00,"0"
27/01/2020 04:15,"0"
27/01/2020 04:30,"0"
27/01/2020 04:45,"0"
27/01/2020 05:00,"0"
27/01/2020 05:15,"0"
27/01/2020 05:30,"0"
27/01/2020 05:45,"0"
27/01/2020 06:00,"0"
27/01/2020 06:15,"0"
27/01/2020 06:30,"0"
27/01/2020 06:45,"0"
27/01/2020 07:00,"0"
27/01/2020 07:15,"0"
27/01/2020 07:30,"0"
27/01/2020 07:45,"34"
27/01/2020 08:00,"692"
27/01/2020 08:15,"1549"
27/01/2020 08:30,"3237.3333"
27/01/2020 08:45,"4502.6665"
27/01/2020 09:00,"5985"
27/01/2020 09:15,"7712"
27/01/2020 09:30,"9697"
27/01/2020 09:45,"10831.667"
27/01/2020 10:00,"12356"
27/01/2020 10:15,"13919"
27/01/2020 10:30,"15027.334"
27/01/2020 10:45,"16188"
27/01/2020 11:00,"16388"
27/01/2020 11:15,"19701.998"
27/01/2020 11:30,"20763.334"
27/01/2020 11:45,"20802"
27/01/2020 12:00,"0"
27/01/2020 12:15,"0"
27/01/2020 12:30,"0"
27/01/2020 12:45,"0"
27/01/2020 13:00,"0"
27/01/2020 13:15,"0"
27/01/2020 13:30,"0"
27/01/2020 13:45,"0"
27/01/2020 14:00,"0"
27/01/2020 14:15,"0"
27/01/2020 14:30,"0"
27/01/2020 14:45,"0"
27/01/2020 15:00,"9583.666"
27/01/2020 15:15,"12823.666"
27/01/2020 15:30,"11599"
27/01/2020 15:45,"6431.667"
27/01/2020 16:00,"3766"
