Time,Produzione (W)
17/02/2020 00:00,"0"
17/02/2020 00:15,"0"
17/02/2020 00:30,"0"
17/02/2020 00:45,"0"
17/02/2020 01:00,"0"
17/02/2020 01:15,"0"
17/02/2020 01:30,"0"
17/02/2020 01:45,"0"
17/02/2020 02:00,"0"
17/02/2020 02:15,"0"
17/02/2020 02:30,"0"
17/02/2020 02:45,"0"
17/02/2020 03:00,"0"
17/02/2020 03:15,"0"
17/02/2020 03:30,"0"
17/02/2020 03:45,"0"
17/02/2020 04:00,"0"
17/02/2020 04:15,"0"
17/02/2020 04:30,"0"
17/02/2020 04:45,"0"
17/02/2020 05:00,"0"
17/02/2020 05:15,"0"
17/02/2020 05:30,"0"
17/02/2020 05:45,"0"
17/02/2020 06:00,"0"
17/02/2020 06:15,"0"
17/02/2020 06:30,"0"
17/02/2020 06:45,"0"
17/02/2020 07:00,"0"
17/02/2020 07:15,"0"
17/02/2020 07:30,"0"
17/02/2020 07:45,"166.3333"
17/02/2020 08:00,"510.6667"
17/02/2020 08:15,"1935"
17/02/2020 08:30,"2405"
17/02/2020 08:45,"4205.3335"
17/02/2020 09:00,"6295"
17/02/2020 09:15,"7919.667"
17/02/2020 09:30,"8577.333"
17/02/2020 09:45,"8505.667"
17/02/2020 10:00,"10045"
17/02/2020 10:15,"11720"
17/02/2020 10:30,"13070.999"
17/02/2020 10:45,"12815.667"
17/02/2020 11:00,"14122.666"
17/02/2020 11:15,"15928.666"
17/02/2020 11:30,"13643.666"
17/02/2020 11:45,"13835"
17/02/2020 12:00,"13451.334"
17/02/2020 12:15,"16014"
17/02/2020 12:30,"17532"
17/02/2020 12:45,"18844"
17/02/2020 13:00,"19581.666"
17/02/2020 13:15,"23653"
17/02/2020 13:30,"22426.334"
17/02/2020 13:45,"17278"
17/02/2020 14:00,"14955.666"
17/02/2020 14:15,"9656"
17/02/2020 14:30,"6605.6665"
17/02/2020 14:45,"5807.333"
17/02/2020 15:00,"5390"
17/02/2020 15:15,"4267"
17/02/2020 15:30,"5462.6665"
17/02/2020 15:45,"4299"
17/02/2020 16:00,"4693"
17/02/2020 16:15,"3256.8333"
17/02/2020 16:30,"2282.3333"
17/02/2020 16:45,"1062.3334"
17/02/2020 17:00,"456.3333"
17/02/2020 17:15,"0"
17/02/2020 17:30,"0"
17/02/2020 17:45,"0"
17/02/2020 18:00,"0"
17/02/2020 18:15,"0"
17/02/2020 18:30,"0"
17/02/2020 18:45,"0"
17/02/2020 19:00,"0"
17/02/2020 19:15,"0"
17/02/2020 19:30,"0"
17/02/2020 19:45,"0"
17/02/2020 20:00,"0"
17/02/2020 20:15,"0"
17/02/2020 20:30,"0"
17/02/2020 20:45,"0"
17/02/2020 21:00,"0"
17/02/2020 21:15,"0"
17/02/2020 21:30,"0"
17/02/2020 21:45,"0"
17/02/2020 22:00,"0"
17/02/2020 22:15,"0"
17/02/2020 22:30,"0"
17/02/2020 22:45,"0"
17/02/2020 23:00,"0"
17/02/2020 23:15,"0"
17/02/2020 23:30,"0"
17/02/2020 23:45,"0"
18/02/2020 00:00,"0"
18/02/2020 00:15,"0"
18/02/2020 00:30,"0"
18/02/2020 00:45,"0"
18/02/2020 01:00,"0"
18/02/2020 01:15,"0"
18/02/2020 01:30,"0"
18/02/2020 01:45,"0"
18/02/2020 02:00,"0"
18/02/2020 02:15,"0"
18/02/2020 02:30,"0"
18/02/2020 02:45,"0"
18/02/2020 03:00,"0"
18/02/2020 03:15,"0"
18/02/2020 03:30,"0"
18/02/2020 03:45,"0"
18/02/2020 04:00,"0"
18/02/2020 04:15,"0"
18/02/2020 04:30,"0"
18/02/2020 04:45,"0"
18/02/2020 05:00,"0"
18/02/2020 05:15,"0"
18/02/2020 05:30,"0"
18/02/2020 05:45,"0"
18/02/2020 06:00,"0"
18/02/2020 06:15,"0"
18/02/2020 06:30,"0"
18/02/2020 06:45,"0"
18/02/2020 07:00,"0"
18/02/2020 07:15,"0"
18/02/2020 07:30,"0"
18/02/2020 07:45,"790"
18/02/2020 08:00,"2517.3335"
18/02/2020 08:15,"2481.3333"
18/02/2020 08:30,"1701"
18/02/2020 08:45,"2382.3333"
18/02/2020 09:00,"1484.3334"
18/02/2020 09:15,"2899.3333"
18/02/2020 09:30,"2304.3333"
18/02/2020 09:45,"3388.0002"
18/02/2020 10:00,"2805.6667"
18/02/2020 10:15,"3464"
18/02/2020 10:30,"5114"
18/02/2020 10:45,"5514"
18/02/2020 11:00,"7065"
18/02/2020 11:15,"6060"
18/02/2020 11:30,"6246.3335"
18/02/2020 11:45,"10697.666"
18/02/2020 12:00,"21214.334"
18/02/2020 12:15,"22669.666"
18/02/2020 12:30,"35962.3359"
18/02/2020 12:45,"41528.668"
18/02/2020 13:00,"38130.668"
18/02/2020 13:15,"30885.668"
18/02/2020 13:30,"22118.666"
18/02/2020 13:45,"28251.332"
18/02/2020 14:00,"26472"
18/02/2020 14:15,"17066.668"
18/02/2020 14:30,"21544"
18/02/2020 14:45,"15978.334"
18/02/2020 15:00,"16132.668"
18/02/2020 15:15,"21599"
18/02/2020 15:30,"17919.334"
18/02/2020 15:45,"15275.334"
18/02/2020 16:00,"11569.334"
18/02/2020 16:15,"8031.6665"
18/02/2020 16:30,"6090.667"
18/02/2020 16:45,"4308.6665"
18/02/2020 17:00,"2516.6667"
18/02/2020 17:15,"1077"
18/02/2020 17:30,"144.3333"
18/02/2020 17:45,"0"
18/02/2020 18:00,"0"
18/02/2020 18:15,"0"
18/02/2020 18:30,"0"
18/02/2020 18:45,"0"
18/02/2020 19:00,"0"
18/02/2020 19:15,"0"
18/02/2020 19:30,"0"
18/02/2020 19:45,"0"
18/02/2020 20:00,"0"
18/02/2020 20:15,"0"
18/02/2020 20:30,"0"
18/02/2020 20:45,"0"
18/02/2020 21:00,"0"
18/02/2020 21:15,"0"
18/02/2020 21:30,"0"
18/02/2020 21:45,"0"
18/02/2020 22:00,"0"
18/02/2020 22:15,"0"
18/02/2020 22:30,"0"
18/02/2020 22:45,"0"
18/02/2020 23:00,"0"
18/02/2020 23:15,"0"
18/02/2020 23:30,"0"
18/02/2020 23:45,"0"
19/02/2020 00:00,"0"
19/02/2020 00:15,"0"
19/02/2020 00:30,"0"
19/02/2020 00:45,"0"
19/02/2020 01:00,"0"
19/02/2020 01:15,"0"
19/02/2020 01:30,"0"
19/02/2020 01:45,"0"
19/02/2020 02:00,"0"
19/02/2020 02:15,"0"
19/02/2020 02:30,"0"
19/02/2020 02:45,"0"
19/02/2020 03:00,"0"
19/02/2020 03:15,"0"
19/02/2020 03:30,"0"
19/02/2020 03:45,"0"
19/02/2020 04:00,"0"
19/02/2020 04:15,"0"
19/02/2020 04:30,"0"
19/02/2020 04:45,"0"
19/02/2020 05:00,"0"
19/02/2020 05:15,"0"
19/02/2020 05:30,"0"
19/02/2020 05:45,"0"
19/02/2020 06:00,"0"
19/02/2020 06:15,"0"
19/02/2020 06:30,"0"
19/02/2020 06:45,"0"
19/02/2020 07:00,"83.6667"
19/02/2020 07:15,"695"
19/02/2020 07:30,"1210.3333"
19/02/2020 07:45,"1171.3333"
19/02/2020 08:00,"2117"
19/02/2020 08:15,"8225.334"
19/02/2020 08:30,"14651.667"
19/02/2020 08:45,"18210.334"
19/02/2020 09:00,"14817.334"
19/02/2020 09:15,"15269.667"
19/02/2020 09:30,"18110"
19/02/2020 09:45,"16873.334"
19/02/2020 10:00,"15012.666"
19/02/2020 10:15,"16602.332"
19/02/2020 10:30,"16380.332"
19/02/2020 10:45,"33014.668"
19/02/2020 11:00,"38827.9961"
19/02/2020 11:15,"34850.6641"
19/02/2020 11:30,"40336.3359"
19/02/2020 11:45,"44420.332"
19/02/2020 12:00,"43080.332"
19/02/2020 12:15,"38651.332"
19/02/2020 12:30,"41073.3359"
19/02/2020 12:45,"41899.6641"
19/02/2020 13:00,"40799.332"
19/02/2020 13:15,"15832.334"
19/02/2020 13:30,"35758.3359"
19/02/2020 13:45,"35946.332"
19/02/2020 14:00,"32827.3359"
19/02/2020 14:15,"34598.332"
19/02/2020 14:30,"26118"
19/02/2020 14:45,"26645"
19/02/2020 15:00,"28386.334"
19/02/2020 15:15,"22362.668"
19/02/2020 15:30,"21110.332"
19/02/2020 15:45,"17388.334"
19/02/2020 16:00,"13473"
19/02/2020 16:15,"9768.333"
19/02/2020 16:30,"7876.333"
19/02/2020 16:45,"5449.667"
19/02/2020 17:00,"3298"
19/02/2020 17:15,"1701.6666"
19/02/2020 17:30,"291"
19/02/2020 17:45,"0"
19/02/2020 18:00,"0"
19/02/2020 18:15,"0"
19/02/2020 18:30,"0"
19/02/2020 18:45,"0"
19/02/2020 19:00,"0"
