Time,Produzione (W)
13/01/2020 00:00,"0"
13/01/2020 00:15,"0"
13/01/2020 00:30,"0"
13/01/2020 00:45,"0"
13/01/2020 01:00,"0"
13/01/2020 01:15,"0"
13/01/2020 01:30,"0"
13/01/2020 01:45,"0"
13/01/2020 02:00,"0"
13/01/2020 02:15,"0"
13/01/2020 02:30,"0"
13/01/2020 02:45,"0"
13/01/2020 03:00,"0"
13/01/2020 03:15,"0"
13/01/2020 03:30,"0"
13/01/2020 03:45,"0"
13/01/2020 04:00,"0"
13/01/2020 04:15,"0"
13/01/2020 04:30,"0"
13/01/2020 04:45,"0"
13/01/2020 05:00,"0"
13/01/2020 05:15,"0"
13/01/2020 05:30,"0"
13/01/2020 05:45,"0"
13/01/2020 06:00,"0"
13/01/2020 06:15,"0"
13/01/2020 06:30,"0"
13/01/2020 06:45,"0"
13/01/2020 07:00,"0"
13/01/2020 07:15,"0"
13/01/2020 07:30,"0"
13/01/2020 07:45,"49.6667"
13/01/2020 08:00,"1010.6667"
13/01/2020 08:15,"2374.3333"
13/01/2020 08:30,"2611.6665"
13/01/2020 08:45,"4241"
13/01/2020 09:00,"6668.333"
13/01/2020 09:15,"9765.667"
13/01/2020 09:30,"13078"
13/01/2020 09:45,"15729"
13/01/2020 10:00,"16847"
13/01/2020 10:15,"20940.334"
13/01/2020 10:30,"23335.332"
13/01/2020 10:45,"25352"
13/01/2020 11:00,"27415.666"
13/01/2020 11:15,"28448"
13/01/2020 11:30,"27474.332"
13/01/2020 11:45,"29380.332"
13/01/2020 12:00,"30920.668"
13/01/2020 12:15,"31953"
13/01/2020 12:30,"28662.668"
13/01/2020 12:45,"26179.666"
13/01/2020 13:00,"29323"
13/01/2020 13:15,"24819.334"
13/01/2020 13:30,"26104"
13/01/2020 13:45,"22497"
13/01/2020 14:00,"22777"
13/01/2020 14:15,"20977.334"
13/01/2020 14:30,"17783.666"
13/01/2020 14:45,"14755.334"
13/01/2020 15:00,"12492.333"
13/01/2020 15:15,"9211"
13/01/2020 15:30,"7405"
13/01/2020 15:45,"6212.3335"
13/01/2020 16:00,"4453"
13/01/2020 16:15,"1875"
13/01/2020 16:30,"605.6666"
13/01/2020 16:45,"8.6667"
13/01/2020 17:00,"0"
13/01/2020 17:15,"0"
13/01/2020 17:30,"0"
13/01/2020 17:45,"0"
13/01/2020 18:00,"0"
13/01/2020 18:15,"0"
13/01/2020 18:30,"0"
13/01/2020 18:45,"0"
13/01/2020 19:00,"0"
13/01/2020 19:15,"0"
13/01/2020 19:30,"0"
13/01/2020 19:45,"0"
13/01/2020 20:00,"0"
13/01/2020 20:15,"0"
13/01/2020 20:30,"0"
13/01/2020 20:45,"0"
13/01/2020 21:00,"0"
13/01/2020 21:15,"0"
13/01/2020 21:30,"0"
13/01/2020 21:45,"0"
13/01/2020 22:00,"0"
13/01/2020 22:15,"0"
13/01/2020 22:30,"0"
13/01/2020 22:45,"0"
13/01/2020 23:00,"0"
13/01/2020 23:15,"0"
13/01/2020 23:30,"0"
13/01/2020 23:45,"0"
14/01/2020 00:00,"0"
14/01/2020 00:15,"0"
14/01/2020 00:30,"0"
14/01/2020 00:45,"0"
14/01/2020 01:00,"0"
14/01/2020 01:15,"0"
14/01/2020 01:30,"0"
14/01/2020 01:45,"0"
14/01/2020 02:00,"0"
14/01/2020 02:15,"0"
14/01/2020 02:30,"0"
14/01/2020 02:45,"0"
14/01/2020 03:00,"0"
14/01/2020 03:15,"0"
14/01/2020 03:30,"0"
14/01/2020 03:45,"0"
14/01/2020 04:00,"0"
14/01/2020 04:15,"0"
14/01/2020 04:30,"0"
14/01/2020 04:45,"0"
14/01/2020 05:00,"0"
14/01/2020 05:15,"0"
14/01/2020 05:30,"0"
14/01/2020 05:45,"0"
14/01/2020 06:00,"0"
14/01/2020 06:15,"0"
14/01/2020 06:30,"0"
14/01/2020 06:45,"0"
14/01/2020 07:00,"0"
14/01/2020 07:15,"0"
14/01/2020 07:30,"0"
14/01/2020 07:45,"0"
14/01/2020 08:00,"43.6667"
14/01/2020 08:15,"630.3333"
14/01/2020 08:30,"1918.5833"
14/01/2020 08:45,"2397.3335"
14/01/2020 09:00,"3751"
14/01/2020 09:15,"4661.3335"
14/01/2020 09:30,"6284.6665"
14/01/2020 09:45,"8509.333"
14/01/2020 10:00,"9321"
14/01/2020 10:15,"10870.666"
14/01/2020 10:30,"10541"
14/01/2020 10:45,"9703.667"
14/01/2020 11:00,"9384"
14/01/2020 11:15,"12508.999"
14/01/2020 11:30,"14166.666"
14/01/2020 11:45,"13192"
14/01/2020 12:00,"13615"
14/01/2020 12:15,"12510"
14/01/2020 12:30,"10714.667"
14/01/2020 12:45,"10201"
14/01/2020 13:00,"12266.667"
14/01/2020 13:15,"12092"
14/01/2020 13:30,"13269"
14/01/2020 13:45,"9954"
14/01/2020 14:00,"11706"
14/01/2020 14:15,"9632.667"
14/01/2020 14:30,"10303.333"
14/01/2020 14:45,"10008.001"
14/01/2020 15:00,"7226"
14/01/2020 15:15,"4417.667"
14/01/2020 15:30,"2905"
14/01/2020 15:45,"1624.3334"
14/01/2020 16:00,"813.9999"
14/01/2020 16:15,"632.3333"
14/01/2020 16:30,"138.3333"
14/01/2020 16:45,"0"
14/01/2020 17:00,"0"
14/01/2020 17:15,"0"
14/01/2020 17:30,"0"
14/01/2020 17:45,"0"
14/01/2020 18:00,"0"
14/01/2020 18:15,"0"
14/01/2020 18:30,"0"
14/01/2020 18:45,"0"
14/01/2020 19:00,"0"
14/01/2020 19:15,"0"
14/01/2020 19:30,"0"
14/01/2020 19:45,"0"
14/01/2020 20:00,"0"
14/01/2020 20:15,"0"
14/01/2020 20:30,"0"
14/01/2020 20:45,"0"
14/01/2020 21:00,"0"
14/01/2020 21:15,"0"
14/01/2020 21:30,"0"
14/01/2020 21:45,"0"
14/01/2020 22:00,"0"
14/01/2020 22:15,"0"
14/01/2020 22:30,"0"
14/01/2020 22:45,"0"
14/01/2020 23:00,"0"
14/01/2020 23:15,"0"
14/01/2020 23:30,"0"
14/01/2020 23:45,"0"
15/01/2020 00:00,"0"
15/01/2020 00:15,"0"
15/01/2020 00:30,"0"
15/01/2020 00:45,"0"
15/01/2020 01:00,"0"
15/01/2020 01:15,"0"
15/01/2020 01:30,"0"
15/01/2020 01:45,"0"
15/01/2020 02:00,"0"
15/01/2020 02:15,"0"
15/01/2020 02:30,"0"
15/01/2020 02:45,"0"
15/01/2020 03:00,"0"
15/01/2020 03:15,"0"
15/01/2020 03:30,"0"
15/01/2020 03:45,"0"
15/01/2020 04:00,"0"
15/01/2020 04:15,"0"
15/01/2020 04:30,"0"
15/01/2020 04:45,"0"
15/01/2020 05:00,"0"
15/01/2020 05:15,"0"
15/01/2020 05:30,"0"
15/01/2020 05:45,"0"
15/01/2020 06:00,"0"
15/01/2020 06:15,"0"
15/01/2020 06:30,"0"
15/01/2020 06:45,"0"
15/01/2020 07:00,"0"
15/01/2020 07:15,"0"
15/01/2020 07:30,"0"
15/01/2020 07:45,"0"
15/01/2020 08:00,"57.6667"
15/01/2020 08:15,"704.0001"
15/01/2020 08:30,"1661.3333"
15/01/2020 08:45,"3255.3333"
15/01/2020 09:00,"4175"
15/01/2020 09:15,"5436.3335"
15/01/2020 09:30,"6881.6665"
15/01/2020 09:45,"9681.666"
15/01/2020 10:00,"15699.666"
15/01/2020 10:15,"13232.666"
15/01/2020 10:30,"12159"
15/01/2020 10:45,"11242.333"
15/01/2020 11:00,"13097"
15/01/2020 11:15,"14196.001"
15/01/2020 11:30,"14773"
15/01/2020 11:45,"13032.667"
15/01/2020 12:00,"13054.333"
15/01/2020 12:15,"16115.666"
